class_index,class_name,weight
0,Ceramic,1.0244755244755244
1,Glass,12.343680709534368
2,Metal,2.239340305711987
3,Mixed,0.303230023421755
4,Organic,1.8606283422459893
5,Paper,0.7148176682074987
6,Plastic,0.40038837744533945
7,Rubber,2.750494071146245
8,Styrofoam,6.024891774891775
9,Textile,0.9962419470293487
10,Wood,4.3255633255633255
