epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.2513023316860199,2.1152706146240234,0.4928750991821289,1.5285723209381104,9.999999747378752e-05
2,0.4625471532344818,1.3045110702514648,0.6412405967712402,1.1340720653533936,9.999999747378752e-05
3,0.5626010298728943,0.995466947555542,0.7041072845458984,0.9445739388465881,9.999999747378752e-05
4,0.6297826766967773,0.8152872323989868,0.7326068878173828,0.8318620324134827,9.999999747378752e-05
5,0.6556493639945984,0.7253677248954773,0.7594299912452698,0.7571396231651306,9.999999747378752e-05
6,0.6985809206962585,0.6237096786499023,0.7921206951141357,0.6696208715438843,9.999999747378752e-05
7,0.714388370513916,0.5776325464248657,0.7963117957115173,0.6085569858551025,9.999999747378752e-05
8,0.7445662021636963,0.5211805701255798,0.7946353554725647,0.6149845719337463,9.999999747378752e-05
9,0.7530087828636169,0.49023815989494324,0.8105615973472595,0.5779483914375305,9.999999747378752e-05
10,0.7673792243003845,0.45539915561676025,0.825649619102478,0.5318785905838013,9.999999747378752e-05
11,0.770073652267456,0.4362720549106598,0.828164279460907,0.5234354138374329,9.999999747378752e-05
12,0.7842643857002258,0.4124665856361389,0.8390612006187439,0.46745020151138306,9.999999747378752e-05
13,0.7966588735580444,0.3900585174560547,0.8398994207382202,0.4926012456417084,9.999999747378752e-05
14,0.8058199882507324,0.36422812938690186,0.8575021028518677,0.4534406065940857,9.999999747378752e-05
15,0.8122866749763489,0.36006930470466614,0.8533110022544861,0.42754364013671875,9.999999747378752e-05
16,0.8236033916473389,0.33292627334594727,0.8616932034492493,0.4157376289367676,9.999999747378752e-05
17,0.8156996369361877,0.3292343020439148,0.8566638827323914,0.4313502311706543,9.999999747378752e-05
18,0.8311478495597839,0.29711952805519104,0.8725901246070862,0.39692309498786926,9.999999747378752e-05
19,0.8331237435340881,0.29895713925361633,0.8725901246070862,0.3844597339630127,9.999999747378752e-05
20,0.8345608115196228,0.2965998649597168,0.8751047849655151,0.3876529932022095,9.999999747378752e-05
