epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.29459312558174133,2.1101794242858887,0.5549036264419556,1.4520434141159058,9.999999747378752e-05
2,0.496317595243454,1.229000210762024,0.6789606213569641,1.0459572076797485,9.999999747378752e-05
3,0.6021196246147156,0.9056462049484253,0.7544006705284119,0.79801344871521,9.999999747378752e-05
4,0.6604993939399719,0.7260417938232422,0.7720033526420593,0.7160563468933105,9.999999747378752e-05
5,0.6971439123153687,0.6362594962120056,0.80134117603302,0.653852105140686,9.999999747378752e-05
6,0.7382791638374329,0.5458003282546997,0.8214585185050964,0.5782296061515808,9.999999747378752e-05
7,0.7549847364425659,0.507489800453186,0.8264878392219543,0.551163375377655,9.999999747378752e-05
8,0.7680976986885071,0.4402350187301636,0.8306789398193359,0.52289217710495,9.999999747378752e-05
9,0.790371835231781,0.39988455176353455,0.8432523012161255,0.4830951988697052,9.999999747378752e-05
10,0.8079755902290344,0.34801387786865234,0.8575021028518677,0.4401875436306,9.999999747378752e-05
11,0.8331237435340881,0.3297310471534729,0.8591785430908203,0.4371064603328705,9.999999747378752e-05
12,0.8343811631202698,0.31080928444862366,0.860854983329773,0.4245774745941162,9.999999747378752e-05
13,0.8444404602050781,0.2876504063606262,0.8667225241661072,0.4046415388584137,9.999999747378752e-05
14,0.8483923077583313,0.2798084318637848,0.8776194453239441,0.3824106752872467,9.999999747378752e-05
15,0.8548589944839478,0.25819167494773865,0.8742665648460388,0.3708726763725281,9.999999747378752e-05
16,0.8782109022140503,0.22835196554660797,0.8834869861602783,0.35259947180747986,9.999999747378752e-05
17,0.8771331310272217,0.22135162353515625,0.888516366481781,0.34588423371315,9.999999747378752e-05
18,0.8771331310272217,0.22436973452568054,0.885163426399231,0.3446078598499298,9.999999747378752e-05
19,0.8853960633277893,0.20289252698421478,0.886001706123352,0.3330034613609314,9.999999747378752e-05
20,0.887012779712677,0.19387434422969818,0.8901928067207336,0.3391389846801758,9.999999747378752e-05
