epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.285611629486084,2.1152493953704834,0.5440067052841187,1.4762450456619263,9.999999747378752e-05
2,0.4713490307331085,1.3258367776870728,0.6487845778465271,1.1067345142364502,9.999999747378752e-05
3,0.5760732889175415,0.9975286722183228,0.7124895453453064,0.8835727572441101,9.999999747378752e-05
4,0.6216992735862732,0.838849663734436,0.7418273091316223,0.8053643703460693,9.999999747378752e-05
5,0.658523440361023,0.7379948496818542,0.7569153308868408,0.7482304573059082,9.999999747378752e-05
6,0.695706844329834,0.644782304763794,0.7870913743972778,0.6628507375717163,9.999999747378752e-05
7,0.7097179889678955,0.5903312563896179,0.7837384939193726,0.6484516859054565,9.999999747378752e-05
8,0.7339680194854736,0.5330377221107483,0.7996647357940674,0.6005868315696716,9.999999747378752e-05
9,0.7562421560287476,0.4920131266117096,0.80134117603302,0.5817034244537354,9.999999747378752e-05
10,0.7654032707214355,0.4513782858848572,0.8264878392219543,0.5254451632499695,9.999999747378752e-05
11,0.790371835231781,0.4193471074104309,0.825649619102478,0.5117965936660767,9.999999747378752e-05
12,0.7909107208251953,0.39195162057876587,0.8273260593414307,0.4921501576900482,9.999999747378752e-05
13,0.8054607510566711,0.37531015276908875,0.8407376408576965,0.47224679589271545,9.999999747378752e-05
14,0.8033052086830139,0.3818386495113373,0.8491198420524597,0.4466553330421448,9.999999747378752e-05
15,0.8095922470092773,0.3599383533000946,0.8482816219329834,0.45756348967552185,9.999999747378752e-05
16,0.8232440948486328,0.32787784934043884,0.860854983329773,0.4191471040248871,9.999999747378752e-05
17,0.821986734867096,0.32342472672462463,0.8642078638076782,0.42254313826560974,9.999999747378752e-05
18,0.8277348875999451,0.3230820298194885,0.8575021028518677,0.4141857326030731,9.999999747378752e-05
19,0.8331237435340881,0.2929401099681854,0.8692372441291809,0.3923632800579071,9.999999747378752e-05
20,0.8413867354393005,0.2767247259616852,0.8734283447265625,0.38906654715538025,9.999999747378752e-05
