epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.2850727438926697,1.9611599445343018,0.5599329471588135,1.4554728269577026,9.999999747378752e-05
2,0.5088917016983032,1.165708303451538,0.6898574829101562,1.0254991054534912,9.999999747378752e-05
3,0.619723379611969,0.8520911931991577,0.7418273091316223,0.8489416837692261,9.999999747378752e-05
4,0.6727142333984375,0.7005836367607117,0.7787091135978699,0.7246020436286926,9.999999747378752e-05
5,0.7106161117553711,0.5913283228874207,0.8005029559135437,0.6556901335716248,9.999999747378752e-05
6,0.7476199269294739,0.507861852645874,0.8306789398193359,0.5625708699226379,9.999999747378752e-05
7,0.7743847966194153,0.4587044417858124,0.8331936001777649,0.5357736349105835,9.999999747378752e-05
8,0.7865995764732361,0.4267014265060425,0.8331936001777649,0.5279985070228577,9.999999747378752e-05
9,0.8033052086830139,0.3856528401374817,0.8507962822914124,0.47373780608177185,9.999999747378752e-05
10,0.8187533617019653,0.35533738136291504,0.855825662612915,0.4659802317619324,9.999999747378752e-05
11,0.8266570568084717,0.31700217723846436,0.858340322971344,0.4594423770904541,9.999999747378752e-05
12,0.846057116985321,0.2941623330116272,0.8667225241661072,0.41832777857780457,9.999999747378752e-05
13,0.8512663841247559,0.28383177518844604,0.8667225241661072,0.4362756609916687,9.999999747378752e-05
14,0.8604274988174438,0.258989155292511,0.8751047849655151,0.39848318696022034,9.999999747378752e-05
15,0.8674330711364746,0.2400582730770111,0.8809723258018494,0.38018161058425903,9.999999747378752e-05
16,0.8812645673751831,0.22884491086006165,0.8784576654434204,0.37802281975746155,9.999999747378752e-05
17,0.8744386434555054,0.22155515849590302,0.8834869861602783,0.3592863380908966,9.999999747378752e-05
18,0.8809053301811218,0.20864830911159515,0.888516366481781,0.35269224643707275,9.999999747378752e-05
19,0.8907849788665771,0.19748395681381226,0.8901928067207336,0.3415735065937042,9.999999747378752e-05
20,0.8934794068336487,0.18469925224781036,0.8893545866012573,0.33807533979415894,9.999999747378752e-05
