Model,Test Acc,Macro F1,Params,Training Time
mobilenetv2_frozen,0.802345,0.781868,2423371,1338.668
mobilenetv2_finetuned,0.838358,0.820365,2423371,552.62
efficientnetb0_frozen,0.840034,0.81431,4214958,2184.053
efficientnetb0_finetuned,0.840034,0.819387,4214958,946.173
resnet50_frozen,0.850921,0.825022,23851403,3524.928
resnet50_finetuned,0.872697,0.862687,23851403,1892.746
densenet121_frozen,0.783082,0.777953,7170123,3994.347
densenet121_finetuned,0.777219,0.77109,7170123,1675.978
