epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7864199876785278,0.404931902885437,0.8616932034492493,0.4066542983055115,4.999999873689376e-06
2,0.827375590801239,0.31900155544281006,0.8642078638076782,0.39260026812553406,4.999999873689376e-06
3,0.8399497270584106,0.293011873960495,0.8717519044876099,0.38143980503082275,4.999999873689376e-06
4,0.8562960028648376,0.25047844648361206,0.880134105682373,0.366993248462677,4.999999873689376e-06
5,0.8677923679351807,0.23539230227470398,0.8868399262428284,0.3569461703300476,4.999999873689376e-06
6,0.8762349486351013,0.2240414321422577,0.8876781463623047,0.35050860047340393,4.999999873689376e-06
7,0.8767738342285156,0.21102729439735413,0.8927074670791626,0.3342933654785156,4.999999873689376e-06
8,0.8877312541007996,0.19331932067871094,0.8943839073181152,0.32922157645225525,4.999999873689376e-06
9,0.8963534832000732,0.1701047569513321,0.8994132280349731,0.3248542845249176,4.999999873689376e-06
10,0.9064127802848816,0.15521417558193207,0.9010896682739258,0.3202176094055176,4.999999873689376e-06
11,0.9062331318855286,0.1484145224094391,0.9044426083564758,0.3158554434776306,4.999999873689376e-06
12,0.9164720773696899,0.13921450078487396,0.9002514481544495,0.3080374300479889,4.999999873689376e-06
13,0.9168313145637512,0.130835622549057,0.9002514481544495,0.3048589825630188,4.999999873689376e-06
14,0.9283276200294495,0.11392315477132797,0.9019278883934021,0.3015126585960388,4.999999873689376e-06
15,0.9310221076011658,0.10837537050247192,0.9027661085128784,0.29553693532943726,4.999999873689376e-06
