epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.2809412479400635,2.1094493865966797,0.5498742461204529,1.4973589181900024,9.999999747378752e-05
2,0.4708101451396942,1.300866961479187,0.6404023766517639,1.139217495918274,9.999999747378752e-05
3,0.5697862505912781,1.0102365016937256,0.7124895453453064,0.8962967395782471,9.999999747378752e-05
4,0.6355308294296265,0.8099817633628845,0.7376362085342407,0.8125973343849182,9.999999747378752e-05
5,0.6657086610794067,0.744147539138794,0.7577535510063171,0.746085524559021,9.999999747378752e-05
6,0.6942697763442993,0.6503446698188782,0.7803855538368225,0.6738010048866272,9.999999747378752e-05
7,0.7199568748474121,0.584545910358429,0.7946353554725647,0.6086452007293701,9.999999747378752e-05
8,0.7361235618591309,0.5272839069366455,0.7921206951141357,0.6022101044654846,9.999999747378752e-05
9,0.7510328888893127,0.5021438598632812,0.8005029559135437,0.5792661309242249,9.999999747378752e-05
10,0.7614514231681824,0.4502137005329132,0.8206202983856201,0.5321924686431885,9.999999747378752e-05
11,0.7851625680923462,0.4296126961708069,0.8248113989830017,0.5110253095626831,9.999999747378752e-05
12,0.7878569960594177,0.4083966016769409,0.8264878392219543,0.5065112709999084,9.999999747378752e-05
13,0.801508903503418,0.38217049837112427,0.8390612006187439,0.4818315804004669,9.999999747378752e-05
14,0.8058199882507324,0.37351348996162415,0.8348701000213623,0.47567418217658997,9.999999747378752e-05
15,0.8043829798698425,0.36279088258743286,0.8516345620155334,0.4451393783092499,9.999999747378752e-05
16,0.8268367052078247,0.3196657598018646,0.8625314235687256,0.4138748049736023,9.999999747378752e-05
17,0.8248608112335205,0.31598830223083496,0.8616932034492493,0.42426785826683044,9.999999747378752e-05
18,0.8288126587867737,0.31645849347114563,0.8675607442855835,0.3978501856327057,9.999999747378752e-05
19,0.838333010673523,0.28997471928596497,0.8709136843681335,0.37902769446372986,9.999999747378752e-05
20,0.8439015746116638,0.2836257517337799,0.8692372441291809,0.38831791281700134,9.999999747378752e-05
