epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.26854678988456726,1.6879732608795166,0.5297569036483765,1.0528758764266968,9.999999747378752e-05
2,0.47601941227912903,0.8800613880157471,0.629505455493927,0.7541636824607849,9.999999747378752e-05
3,0.5627806782722473,0.6581266522407532,0.6789606213569641,0.6108368635177612,9.999999747378752e-05
4,0.6048141121864319,0.5643592476844788,0.7401508688926697,0.5015847682952881,9.999999747378752e-05
5,0.65690678358078,0.47883567214012146,0.7619446516036987,0.4464888870716095,9.999999747378752e-05
6,0.6818753480911255,0.4137704372406006,0.7812238335609436,0.4028531312942505,9.999999747378752e-05
7,0.7138494849205017,0.36775797605514526,0.7787091135978699,0.40971463918685913,9.999999747378752e-05
8,0.7310939431190491,0.324351042509079,0.7929589152336121,0.37633076310157776,9.999999747378752e-05
9,0.7449254393577576,0.2955212891101837,0.8122380375862122,0.3269233703613281,9.999999747378752e-05
10,0.7587569355964661,0.2733902335166931,0.8130762577056885,0.324692040681839,9.999999747378752e-05
11,0.7682773470878601,0.2593047618865967,0.8097233772277832,0.32571351528167725,9.999999747378752e-05
12,0.7839051485061646,0.2454170435667038,0.8306789398193359,0.2764955163002014,9.999999747378752e-05
13,0.7849829196929932,0.23023538291454315,0.8331936001777649,0.29342058300971985,9.999999747378752e-05
14,0.7968385219573975,0.21707934141159058,0.8357083201408386,0.2699195146560669,9.999999747378752e-05
15,0.8034847974777222,0.206836998462677,0.8524727821350098,0.25229766964912415,9.999999747378752e-05
16,0.8149811625480652,0.1985732465982437,0.8348701000213623,0.2632577121257782,9.999999747378752e-05
17,0.8135440945625305,0.18747493624687195,0.8432523012161255,0.24982482194900513,9.999999747378752e-05
18,0.820010781288147,0.1845760941505432,0.834031879901886,0.26146772503852844,9.999999747378752e-05
19,0.8228848576545715,0.16787022352218628,0.8591785430908203,0.22886866331100464,9.999999747378752e-05
20,0.838692307472229,0.1529150754213333,0.8616932034492493,0.21900951862335205,9.999999747378752e-05
