epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.28345608711242676,1.9819154739379883,0.49958088994026184,1.5627893209457397,9.999999747378752e-05
2,0.49164721369743347,1.2491424083709717,0.6345347762107849,1.127776026725769,9.999999747378752e-05
3,0.58990478515625,0.9237542152404785,0.7041072845458984,0.9426496624946594,9.999999747378752e-05
4,0.6371474862098694,0.7918387055397034,0.7342833280563354,0.8518762588500977,9.999999747378752e-05
5,0.6741512417793274,0.690845787525177,0.7544006705284119,0.7875577211380005,9.999999747378752e-05
6,0.7098976373672485,0.6107290983200073,0.7803855538368225,0.6921359896659851,9.999999747378752e-05
7,0.7266032099723816,0.5641248226165771,0.7963117957115173,0.6332922577857971,9.999999747378752e-05
8,0.7485180497169495,0.5192895531654358,0.8080469369888306,0.59688401222229,9.999999747378752e-05
9,0.7654032707214355,0.46854132413864136,0.8130762577056885,0.586127758026123,9.999999747378752e-05
10,0.772049605846405,0.46161672472953796,0.8181056380271912,0.5492266416549683,9.999999747378752e-05
11,0.7840847969055176,0.4219370186328888,0.8248113989830017,0.5332439541816711,9.999999747378752e-05
12,0.8033052086830139,0.38611921668052673,0.8373847603797913,0.46825236082077026,9.999999747378752e-05
13,0.8085144758224487,0.3651953339576721,0.8424140810966492,0.48504766821861267,9.999999747378752e-05
14,0.8205496668815613,0.35720351338386536,0.8482816219329834,0.44621381163597107,9.999999747378752e-05
15,0.8255792856216431,0.3297823369503021,0.8507962822914124,0.436056911945343,9.999999747378752e-05
16,0.8356385827064514,0.31792300939559937,0.8524727821350098,0.4327767491340637,9.999999747378752e-05
17,0.8316867351531982,0.3125484585762024,0.858340322971344,0.4281119108200073,9.999999747378752e-05
18,0.8363571166992188,0.2958471477031708,0.8549874424934387,0.43320432305336,9.999999747378752e-05
19,0.847673773765564,0.289385586977005,0.8591785430908203,0.4064595699310303,9.999999747378752e-05
20,0.8500089645385742,0.2733519971370697,0.8549874424934387,0.41498997807502747,9.999999747378752e-05
